Date,close,P_E,P_B,Div_Yield,a10_y_GSEC,Yield_gap,EPS,MCAP_GDP,EPS_1YEARAGO,EPS_GROWTH_1,PEG_1,PEGY_1,EPS_3YEARAGO,EPS_GROWTH_3,PEG_3,PEGY_3,return_1,return_3,return-5,return_7,return_10
08-Jun-16,"? 8,273.05",22.71,3.45,1.3,7.482,3.078653457,? 364.29,67,? 364.78,0.13%,170.1615675,15.84277058,? 335.16,-2.78%,-8.159942408,-15.31243973,16.24%,41.42%,,,
09-Jun-16,"? 8,203.60",22.52,3.42,1.31,7.488,3.047502664,? 364.28,67,? 362.73,-0.43%,-52.79845076,25.4903285,? 335.20,-2.60%,-8.674281211,-17.5092061,17.11%,43.80%,,,
10-Jun-16,"? 8,170.05",22.43,3.38,1.28,7.486,3.027685243,? 364.25,67,? 362.68,-0.43%,-52.13455445,26.39546732,? 335.79,-2.54%,-8.846157546,-17.86447939,17.72%,45.01%,,,
13-Jun-16,"? 8,110.60",22.26,3.36,1.29,7.491,2.998637017,? 364.36,67,? 363.01,-0.37%,-60.2774833,24.17704969,? 335.79,-2.56%,-8.679942079,-17.46521728,18.09%,46.00%,,,
14-Jun-16,"? 8,108.85",22.26,3.36,1.29,7.525,3.032637017,? 364.28,67,? 360.88,-0.93%,-23.86410014,62.31486661,? 334.65,-2.48%,-8.96127145,-18.64286461,18.24%,45.38%,,,
15-Jun-16,"? 8,206.60",22.53,3.4,1.27,7.517,3.078473591,? 364.25,67,? 360.81,-0.94%,-23.86740402,69.10306339,? 334.42,-2.50%,-9.011721131,-18.31592116,17.68%,44.59%,,,
16-Jun-16,"? 8,140.75",22.35,3.37,1.28,7.517,3.042727069,? 364.24,67,? 360.89,-0.92%,-24.27664321,62.19355235,? 334.86,-2.46%,-9.071241586,-18.87939492,18.58%,46.30%,,,
17-Jun-16,"? 8,170.20",22.43,3.36,1.28,7.504,3.045685243,? 364.25,67,? 360.88,-0.93%,-24.2328369,63.29070274,? 333.39,-2.61%,-8.603622047,-16.90225925,17.91%,45.86%,,,
20-Jun-16,"? 8,238.50",22.62,3.39,1.27,7.501,3.08013351,? 364.21,67,? 360.77,-0.95%,-23.89980001,69.91222463,? 333.37,-2.60%,-8.70678862,-17.03348142,16.89%,45.01%,,,
21-Jun-16,"? 8,219.90",22.56,3.38,1.27,7.494,3.061375887,? 364.36,67,? 360.75,-0.99%,-22.78418094,80.6176904,? 333.48,-2.59%,-8.723571916,-17.14159839,16.48%,43.69%,,,
22-Jun-16,"? 8,203.70",22.52,3.37,1.27,7.498,3.057502664,? 364.29,67,? 360.89,-0.93%,-24.16774382,66.59186139,? 333.48,-2.60%,-8.666249476,-16.95034372,15.94%,40.89%,,,
23-Jun-16,"? 8,270.45",22.7,3.4,1.26,7.476,3.070713656,? 364.34,67,? 360.82,-0.96%,-23.54207057,76.74914798,? 333.49,-2.59%,-8.758665849,-17.04563902,14.76%,39.73%,,,
24-Jun-16,"? 8,088.60",22.2,3.29,1.28,7.479,2.974495495,? 364.35,67,? 360.87,-0.96%,-23.20389354,68.67451724,? 333.36,-2.61%,-8.512622048,-16.71822552,17.50%,42.16%,,,
27-Jun-16,"? 8,094.70",22.22,3.29,1.28,7.473,2.972549955,? 364.30,67,? 360.75,-0.97%,-22.79451018,72.80379177,? 330.99,-2.83%,-7.854695549,-14.34583946,17.62%,43.09%,,,
28-Jun-16,"? 8,127.85",22.31,3.3,1.28,7.459,2.976705065,? 364.31,67,? 360.75,-0.98%,-22.80549063,73.94105873,? 331.14,-2.81%,-7.926217829,-14.53695383,18.30%,42.13%,,,
29-Jun-16,"? 8,204.00",22.52,3.33,1.26,7.453,3.012502664,? 364.30,67,? 360.90,-0.93%,-24.15292432,68.74074729,? 331.53,-2.79%,-8.071485012,-14.71829062,17.18%,41.25%,,,
30-Jun-16,"? 8,287.75",22.75,3.37,1.25,7.444,3.048395604,? 364.30,67,? 360.83,-0.95%,-23.87265902,76.59236923,? 331.36,-2.80%,-8.125034667,-14.67753248,16.29%,40.72%,,,
01-Jul-16,"? 8,328.35",22.86,3.38,1.25,7.448,3.073546807,? 364.32,69,? 360.81,-0.96%,-23.70975044,79.97489384,? 331.43,-2.79%,-8.189131461,-14.82966489,16.16%,40.33%,,,
04-Jul-16,"? 8,370.70",22.98,3.4,1.24,7.419,3.067389904,? 364.26,69,? 360.85,-0.94%,-24.53206241,75.77488948,? 331.34,-2.80%,-8.197235488,-14.69888259,15.47%,38.54%,,,
05-Jul-16,"? 8,335.95",22.88,3.39,1.24,7.425,3.054370629,? 364.33,69,? 360.89,-0.94%,-24.23505982,77.31997006,? 331.34,-2.81%,-8.148918074,-14.59430609,17.22%,36.99%,,,
07-Jul-16,"? 8,337.90",22.89,3.39,1.24,7.394,3.025280035,? 364.26,69,? 360.79,-0.95%,-24.01657363,79.78162361,? 329.58,-2.97%,-7.705392404,-13.22626822,17.37%,36.08%,,,
08-Jul-16,"? 8,323.20",22.85,3.38,1.25,7.381,3.004632385,? 364.25,69,? 360.89,-0.92%,-24.70674408,70.27497533,? 329.57,-2.98%,-7.666613775,-13.20461697,17.94%,36.14%,,,
11-Jul-16,"? 8,467.90",23.25,3.44,1.23,7.384,3.082924731,? 364.21,69,? 360.87,-0.92%,-25.32266915,74.55499261,? 329.31,-3.00%,-7.739726943,-13.10610858,16.81%,33.11%,,,
12-Jul-16,"? 8,521.05",23.37,3.46,1.22,7.384,3.105009842,? 364.61,69,? 360.78,-1.05%,-22.21351827,139.1585564,? 329.41,-2.99%,-7.823995931,-13.22607035,16.02%,32.05%,,,
13-Jul-16,"? 8,519.50",23.37,3.46,1.22,7.337,3.058009842,? 364.55,69,? 360.89,-1.00%,-23.30658844,107.5574438,? 329.51,-2.99%,-7.82509697,-13.229217,16.39%,32.45%,,,
14-Jul-16,"? 8,565.00",23.49,3.48,1.21,7.284,3.026869306,? 364.62,69,? 360.75,-1.06%,-22.12782102,158.2452895,? 329.42,-2.98%,-7.873925873,-13.24675814,14.74%,30.64%,,,
15-Jul-16,"? 8,541.40",23.43,3.47,1.21,7.285,3.016967563,? 364.55,69,? 360.80,-1.03%,-22.79264845,128.7101197,? 329.37,-2.99%,-7.828272208,-13.1407916,15.90%,29.78%,,,
18-Jul-16,"? 8,508.70",23.34,3.46,1.22,7.272,2.987509854,? 364.55,69,? 360.78,-1.04%,-22.54305724,126.402687,? 329.52,-2.98%,-7.843719311,-13.29437923,16.04%,30.67%,,,
19-Jul-16,"? 8,528.55",23.39,3.46,1.22,7.294,3.018668662,? 364.62,69,? 360.79,-1.05%,-22.23029281,139.3654542,? 328.84,-3.04%,-7.685642645,-12.82812835,16.26%,28.74%,,,
20-Jul-16,"? 8,565.85",23.49,3.48,1.21,7.28,3.022869306,? 364.66,69,? 360.86,-1.04%,-22.51972235,140.730889,? 328.95,-3.04%,-7.731146059,-12.84758374,16.35%,28.39%,,,
21-Jul-16,"? 8,510.10",23.34,3.46,1.22,7.27,2.985509854,? 364.61,69,? 360.84,-1.04%,-22.517875,127.2003118,? 328.44,-3.09%,-7.561848751,-12.50437445,17.09%,27.64%,,,
22-Jul-16,"? 8,541.20",23.43,3.47,1.21,7.261,2.992967563,? 364.54,69,? 360.75,-1.04%,-22.54494405,137.2241047,? 328.34,-3.09%,-7.58358768,-12.46563899,17.32%,28.18%,,,
25-Jul-16,"? 8,635.65",23.69,3.44,1.23,7.249,3.027809624,? 364.53,69,? 360.67,-1.06%,-22.38704718,137.8938551,? 328.45,-3.07%,-7.714252391,-12.86843156,16.04%,25.71%,,,
26-Jul-16,"? 8,590.65",23.56,3.39,1.28,7.248,3.003517827,? 364.63,69,? 360.72,-1.07%,-21.97556173,113.3237201,? 328.47,-3.07%,-7.665792082,-13.13710147,16.57%,28.42%,,,
27-Jul-16,"? 8,615.80",23.63,3.4,1.27,7.252,3.020091409,? 364.61,69,? 360.77,-1.05%,-22.43978603,108.9142582,? 328.37,-3.09%,-7.650569499,-12.99309028,16.96%,28.95%,,,
28-Jul-16,"? 8,666.30",23.69,3.42,1.26,7.25,3.028809624,? 365.82,69,? 360.70,-1.40%,-16.91482662,-168.5564004,? 328.15,-3.10%,-7.634411368,-12.85365724,16.71%,26.07%,,,
29-Jul-16,"? 8,638.50",23.62,3.38,1.27,7.185,2.951299746,? 365.73,69,? 360.28,-1.49%,-15.85127096,-107.3142068,? 328.24,-3.06%,-7.726077031,-13.21635985,16.70%,27.68%,,,
